Date,Years_to_Maturity,Spot_Rate
2026-01-05,0.5749486652977412,5.382213563094742
2026-01-05,1.0732375085557837,3.6241307052388274
2026-01-05,1.568788501026694,3.1969065401802244
2026-01-05,2.0725530458590007,3.0719178783486663
2026-01-05,2.403832991101985,2.6881352892219668
2026-01-05,3.1512662559890487,3.2122231038810645
2026-01-05,3.403148528405202,2.9378336482054053
2026-01-05,3.9041752224503763,2.926860605121063
2026-01-05,4.654346338124572,3.1402056102976785
2026-01-05,4.903490759753593,3.0179895243757233
2026-01-06,0.5722108145106092,5.407869553954614
2026-01-06,1.0704996577686516,3.6183530643933475
2026-01-06,1.566050650239562,3.2160638126799515
2026-01-06,2.0698151950718686,3.0782699234618267
2026-01-06,2.401095140314853,2.6999803300989553
2026-01-06,3.1485284052019167,3.18990429288087
2026-01-06,3.40041067761807,2.904827492447892
2026-01-06,3.9014373716632442,2.9148016637216054
2026-01-06,4.65160848733744,3.162548316009365
2026-01-06,4.900752908966461,2.9886236265054
2026-01-07,0.5694729637234771,5.433771352607131
2026-01-07,1.0677618069815196,3.617423558201173
2026-01-07,1.5633127994524298,3.187975068103056
2026-01-07,2.0670773442847366,3.0564851819656402
2026-01-07,2.3983572895277208,2.6766560789898497
2026-01-07,3.1457905544147846,3.1905551193750283
2026-01-07,3.3976728268309375,2.898719148911133
2026-01-07,3.898699520876112,2.9014853885478638
2026-01-07,4.648870636550308,3.1253997666802027
2026-01-07,4.898015058179329,2.972579931961138
2026-01-08,0.5667351129363449,5.459922509244397
2026-01-08,1.0650239561943875,3.6311637610940117
2026-01-08,1.5605749486652978,3.2000590850428035
2026-01-08,2.0643394934976045,3.0649173700663934
2026-01-08,2.3956194387405887,2.6728320838267092
2026-01-08,3.143052703627652,3.1826648033123197
2026-01-08,3.3949349760438055,2.9104389577415657
2026-01-08,3.89596167008898,2.9134201119672536
2026-01-08,4.646132785763176,3.1454246811422886
2026-01-08,4.895277207392197,2.9801181370086707
2026-01-09,0.5639972621492129,5.504426013514639
2026-01-09,1.0622861054072552,3.639692851518248
2026-01-09,1.5578370978781657,3.1986568620205755
2026-01-09,2.0616016427104724,3.055435099129521
2026-01-09,2.3928815879534566,2.678131040012707
2026-01-09,3.14031485284052,3.1887554834271645
2026-01-09,3.3921971252566734,2.9252585124940436
2026-01-09,3.893223819301848,2.9152011329932432
2026-01-09,4.643394934976044,3.1257878215091863
2026-01-09,4.892539356605065,2.9793945869005727
2026-01-12,0.5557837097878165,5.603836446786471
2026-01-12,1.054072553045859,3.661311496938647
2026-01-12,1.5496235455167693,3.215095117375609
2026-01-12,2.0533880903490758,3.0755500242872102
2026-01-12,2.3846680355920604,2.6825196534994378
2026-01-12,3.132101300479124,3.18584623812159
2026-01-12,3.383983572895277,2.9312694553045806
2026-01-12,3.885010266940452,2.9122771088046573
2026-01-12,4.635181382614648,3.142216571988523
2026-01-12,4.884325804243669,2.9675604261515773
2026-01-13,0.5530458590006845,5.631473762930059
2026-01-13,1.051334702258727,3.6852347697838255
2026-01-13,1.5468856947296372,3.233960179620188
2026-01-13,2.0506502395619437,3.0661613882212153
2026-01-13,2.3819301848049284,2.685461409334449
2026-01-13,3.1293634496919918,3.202356961777532
2026-01-13,3.381245722108145,2.952099039178845
2026-01-13,3.8822724161533197,2.9311801452065063
2026-01-13,4.632443531827516,3.1493118402921607
2026-01-13,4.8815879534565365,2.9786625594464673
2026-01-14,0.5503080082135524,5.6593850866881885
2026-01-14,1.0485968514715949,3.6695109068900553
2026-01-14,1.5441478439425051,3.205852998334493
2026-01-14,2.0479123887748116,3.0453225014830525
2026-01-14,2.379192334017796,2.6799932097724977
2026-01-14,3.1266255989048597,3.19194395508138
2026-01-14,3.378507871321013,2.945965447759594
2026-01-14,3.8795345653661877,2.9134608148825825
2026-01-14,4.629705681040384,3.109675975711418
2026-01-14,4.878850102669404,2.96139211342994
2026-01-15,0.5475701574264202,5.687574514030432
2026-01-15,1.0458590006844628,3.673635083832942
2026-01-15,1.541409993155373,3.211466701557376
2026-01-15,2.0451745379876796,3.0487700134438795
2026-01-15,2.3764544832306638,2.665030932203631
2026-01-15,3.1238877481177276,3.1846072004294035
2026-01-15,3.375770020533881,2.922832939149451
2026-01-15,3.8767967145790556,2.898490991243981
2026-01-15,4.6269678302532515,3.10973449188861
2026-01-15,4.876112251882272,2.936812429730745
2026-01-16,0.5448323066392882,5.734795614360026
2026-01-16,1.0431211498973305,3.682380489457535
2026-01-16,1.538672142368241,3.210073164783244
2026-01-16,2.0424366872005475,3.070052739083717
2026-01-16,2.3737166324435317,2.6678862064727684
2026-01-16,3.1211498973305956,3.19046977744025
2026-01-16,3.373032169746749,2.9244361412218636
2026-01-16,3.8740588637919235,2.8973666197721317
2026-01-16,4.6242299794661195,3.123816821356098
2026-01-16,4.87337440109514,2.93599498851728
2026-01-19,0.5366187542778919,5.8412802944098186
2026-01-19,1.0349075975359343,3.719711759864324
2026-01-19,1.5304585900068446,3.2402655162940346
2026-01-19,2.0342231348391513,3.0743276136388404
2026-01-19,2.3655030800821355,2.6812896909677493
2026-01-19,3.1129363449691994,3.2119221282804715
2026-01-19,3.3648186173853527,2.9619783113055917
2026-01-19,3.865845311430527,2.919897276655489
2026-01-19,4.616016427104722,3.136518652319879
2026-01-19,4.865160848733744,2.964704764963013
