,1yr-1yr,1yr-2yr,1yr-3yr,1yr-4yr
1yr-1yr,0.00014201611798262396,-1.3031332195766435e-05,1.3974979892537556e-05,-1.4118410177853027e-05
1yr-2yr,-1.3031332195766435e-05,2.8942314388611348e-05,2.0163966710643782e-05,3.2152792987003413e-05
1yr-3yr,1.3974979892537556e-05,2.0163966710643782e-05,3.8551024753558074e-05,3.9387698554368465e-05
1yr-4yr,-1.4118410177853027e-05,3.2152792987003413e-05,3.9387698554368465e-05,5.5381579636146586e-05
