Eigenvalue,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.00016538812134913894,0.0436029674248614,0.04290743107143881,0.6074305876787605,-0.19620033927791172,-0.44536956900379276,0.32502529886492326,0.013456478803614006,0.3953521679519847,-0.331971591107375,0.1345592541771815
9.088026118049006e-05,0.3055011620437271,0.12798542724383682,-0.07008290664879226,0.4032569533315991,-0.40554937278003794,0.28960421398124025,-0.28696603373259694,0.033918258575432673,0.3316515784253984,-0.530025819576239
1.7565324714214104e-05,0.4556030481603933,-0.2983301291447052,-0.4592352642266191,-0.13593299506733686,-0.3227825495302088,0.1430062964419509,0.5726762505200748,0.032344228858888775,-0.04958123851697254,0.13397118394580745
1.26940492215847e-05,0.21875638376977904,-0.3926213637766458,0.5959711610684254,0.2444237265805036,0.16238406853619433,-0.052231403448946966,0.2886839882112573,-0.2054422504584412,0.4656729114640378,0.10759459703163864
7.635550033823989e-06,0.20698257386445773,-0.09895230547519838,0.08264432582290926,-0.8201533600210427,-0.06907754761516069,-0.14424370872362197,-0.25352007471329574,-0.16174141849247672,0.2962683073803591,-0.2531787057111366
1.8013323158200925e-06,0.18402714620771662,0.3099938610356949,0.10868644323014674,0.1423134246906351,-0.48346825392207776,-0.6957051623847171,0.0021394260358827823,-0.27716719801148787,-0.11244784335929638,0.1753681441908919
9.727399740315318e-07,0.3376670684104945,0.48858789622338916,0.14089760319273786,-0.07032775355723968,0.27603561652178715,0.3693433979411036,0.16849994712010935,-0.5485041253689135,-0.2757026426439904,-0.06777557813016614
6.474905453877381e-07,0.34435685200986177,0.1862933394711283,-0.1308071241176403,0.006183799370750492,0.0903463387873653,0.16845564481704284,-0.4197008691813874,0.13392026118987022,0.30142750152888836,0.7127991633119775
3.245285908010113e-08,0.45087134262983186,-0.4812817607275272,0.025174664623301802,0.14925599337264758,0.21387123340007877,-0.14810207213017726,-0.4192617469482653,-0.002270934577852679,-0.5373119654523862,-0.10003468312559691
7.818546855903314e-22,0.36979168952774993,0.35732765777052133,0.06163266209022313,-0.022411839276747794,0.37149186547702706,-0.3094689643502824,0.24814192723338857,0.6144225227477719,0.06707064969116576,-0.23217451453568064
